,1,2,3,4,5,6,7,8,9,10,11,12
A,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB
B,LB, BM 10%,BMb 10%,LB 10%, BM 50%,BMb 50%,LB 50%, BM 80%,LB 80%,401,401_AHL,LB
C,LB, BM 10%,BMb 10%,LB 10%, BM 50%,BMb 50%,LB 50%, BM 80%,LB 80%,401,401_AHL,LB
D,LB, BM 10%,BMb 10%,LB 10%, BM 50%,BMb 50%,LB 50%, BM 80%,LB 80%,401,401_AHL,LB
E,LB, BM 10%,BMb 10%,LB 10%, BM 50%,BMb 50%,LB 50%, BM 80%,LB 80%,401,401_AHL,LB
F,LB, BM 10%,BMb 10%,LB 10%, BM 50%,BMb 50%,LB 50%, BM 80%,LB 80%,401,401_AHL,LB
G,LB, BM 10%,BMb 10%,LB 10%, BM 50%,BMb 50%,LB 50%, BM 80%,LB 80%,401,401_AHL,LB
H,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB
